Pro #,Purchase Order #,Bill of Lading #,Other IDs,Shipment Status,Transit Delivery Exception,Standard Due Date,Customer Req. Due Date,Direction,Origin Terminal,Destination Terminal,Destination Terminal Phone,Current Terminal,Pickup Date,Arrival Date,Appointment Date,Appointment Begin Time,Appointment End Time,Delivery Date,Shipper Acct #,Shipper Name,Shipper Address,Shipper City,Shipper State,Shipper Zip,Consignee Acct #,Consignee Name,Consignee Address,Consignee City,Consignee State,Consignee Zip,Third Party Acct #,Third Party Name,Third Party Address,Third Party City,Third Party State,Third Party Zip,Pieces,Weight*,Pallets,Charges*,Time Critical Flag,Quote #
2248111504,NS,RA81972022047,0081090689,Out for Delivery,Appointment,04/01/2022,,THIRD PARTY,DENVER - DEN (224),SOUTH BOSTON - SBV (103),(434) 572-2097,SOUTH BOSTON - SBV (103),03/28/2022,04/01/2022,04/04/2022,00:00,15:30,,0060359,MCLANE WESTERN,2100 E KENT PRATT BLVD,LONGMONT,CO,80504,1037777,US FLUE CURED TOBACCO GROWER,250 CROWN BLVD,TIMBERLAKE,NC,27583,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,1,350,1,$0.00,N,
1030564801,NCD103383,80188646,0081925330,At Intermediate Terminal,,05/04/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),JERSEY CITY - JCT (176),(201) 721-7030,HARRISBURG - HAR (024),05/02/2022,05/03/2022,,,,,1037777,USFC TG TIMBERLAKE,250 CROWN BOULEVARD,TIMBERLAKE,NC,27583,5935104,HAROLD LEVINSON ASSOC INC,21 BANDI PLZ W,FARMINGDALE,NY,11735,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,3,"1,776",3,$0.00,N,
1278058806,NS,RA8198-2022-048,0081119660,Out for Delivery,Appointment,04/01/2022,,THIRD PARTY,SOUTH BEND - SBD (127),SOUTH BOSTON - SBV (103),(434) 572-2097,SOUTH BOSTON - SBV (103),03/30/2022,04/01/2022,04/04/2022,00:00,15:30,,B054515,RICHMOND MASTERS DISTRIBUTORS,4202 TECHNOLOGY DR,SOUTH BEND,IN,46628,1037777,U.S. FLUE-CURED TOBACCO GROWER,250 CROWN BOULEVARD,TIMBERLAKE,NC,27583,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,1,325,1,$0.00,N,
1030564802,317114,NS,0081925330,At Intermediate Terminal,,05/04/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),CINCINNATI - CIN (062),(513) 779-9581,CHARLOTTE - CHA (010),05/02/2022,05/02/2022,,,,,1037777,USFCTG,250 CROWN BOULEVARD,TIMBERLAKE,NC,27583,B053991,TOPICZ WHOLESALE,2121 SECTOPM RD,CINCINNATI,OH,45237,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,1,522,1,$0.00,N,
1030564806,SE1009678301,NS,0081925330,At Destination Terminal,,05/03/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),ATHENS - ATH (047),(706) 549-1310,ATHENS - ATH (047),05/02/2022,05/03/2022,,,,,1037777,USFCTG,250 CROWN BOULEVARD,TIMBERLAKE,NC,27583,4756160,MCLANE SOUTHEAST,5505 OLD HULL ROAD,ATHENS,GA,30603,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,20,458,1,$0.00,N,
1030553069,170408,80184476,0081187600,Out for Delivery,,04/04/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),JACKSONVILLE - JAX (045),(904) 384-2277,JACKSONVILLE - JAX (045),03/31/2022,04/01/2022,,,,,1037777,USFC TG TIMBERLAKE,250 CROWN BLVD,TIMBERLAKE,NC,27583,4078135,STEWART CANDY CO,400 BONNYMAN RD,BLACKSHEAR,GA,31516,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,1,132,1,$0.00,N,
1030451380,9115730,80188289,,At Destination Terminal,Appointment,04/28/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),THOROFARE - THO (097),(856) 381-4909,THOROFARE - THO (097),04/27/2022,04/28/2022,05/04/2022,10:00,12:00,,1037777,USFC TG  TIMBERLAKE,250 CROWN BLVD,TIMBERLAKE,NC,27583,2772981,LJ ZUCCA,760 S DELSEA DR,VINELAND,NJ,08360,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,1,374,1,$0.00,N,
1030553099,316515,NS,0081525944,At Destination Terminal,Appointment,04/18/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),CINCINNATI - CIN (062),(513) 779-9581,CINCINNATI - CIN (062),04/14/2022,04/16/2022,04/19/2022,09:30,09:30,,1037777,USFCTG,250 CROWN BLVD,TIMBERLAKE,NC,27583,B053991,TOPICZ WHOLESALE,2121 SECTION RD,CINCINNATI,OH,45237,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,31,533,1,$0.00,N,
1030553098,9115518,80186558,0081525944,At Intermediate Terminal,,04/15/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),THOROFARE - THO (097),(856) 381-4909,HARRISBURG - HAR (024),04/14/2022,04/16/2022,,,,,1037777,USFC TG TIMBERLAKE,250 CROWN BLVD,TIMBERLAKE,NC,27583,2772981,LJ ZUCCA,760 S. DELSEA DR.,VINELAND,NJ,08360,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,1,548,1,$0.00,N,
1030564804,12425,NS,0081925330,At Intermediate Terminal,,05/04/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),METHUEN - MET (070),(978) 552-1361,HARRISBURG - HAR (024),05/02/2022,05/03/2022,,,,,1037777,USFCTG,250 CROWN BOULEVARD,TIMBERLAKE,NC,27583,7000777,EAST WEST DISTRIBUTORS INC,15 BATCHELDER ROAD,SEABROOK,NH,03874,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,1,953,1,$0.00,N,
