Record Type,Pro #,Bill of Lading #,Purchase Order #,Delivery Status,Delivery Terminal,Pickup Date,Arrival Date,Delivery Date,Delivery Time In,Delivery Time Out,Total Pallets,Pieces,OS&D Pieces,Weight,Pickup Time In,Pickup Time Out,Shipper #,Shipper Acct #,Shipper Name,Shipper Address,Shipper City,Shipper State,Shipper Zip,Consignee Acct #,Consignee Name,Consignee Address,Consignee City,Consignee State,Consignee Zip,Consignee Store #,Third Party Acct #,Third Party Name,Third Party Address,Third Party City,Third Party State,Third Party Zip,Appointment Date,Received By Name
INBOUND,0895057730,1821309,33568104,Reconsigned,CHATTANOOGA - CHT (038),01/19/2021,01/21/2021,02/01/2021,12:56,13:02,1,1,0,45,17:00,17:30,,8931892,HOME DEPOT #6833,1801 W PARKER RD,PLANO,TX,75023,3878407,SO SHAW INDUSTRIES INC,201 CONNECTOR 3 SW,DALTON,GA,30722,,4136995,HOME DEPOT CORE,2455 PACES FERRY RD,ATLANTA,GA,30339,,038-2610245
INBOUND,1282297131,1066788,19179784,Reconsigned,CHATTANOOGA - CHT (038),07/16/2020,07/18/2020,07/20/2020,,,1,6,0,235,14:45,14:45,1066788,2831958,HOME DEPOT #1917,295 E ARMYTRAIL RD,GLENDALE HEIGHTS,IL,60139,3878407,SHAW INDUSTRIES,201 CONNECTOR 3 SW,DALTON,GA,30722,,4136995,HOME DEPOT CORE,2455 PACES FERRY RD,ATLANTA,GA,30339,,038-2573971
INBOUND,1641996186,2555230,24549050,Reconsigned,CHATTANOOGA - CHT (038),07/29/2021,08/03/2021,08/04/2021,,,1,1,0,118,12:14,12:15,2555230,6437498,HOME DEPOT #3024,905 NE ADAMS DAIRY PKWY,BLUE SPRINGS,MO,64014,3878407,SO QUEEN CARPET SPEC BU,201 CONNECTOR ST SW,DALTON,GA,30722,,4136995,HOME DEPOT CORE,2455 PACES FERRY RD,ATLANTA,GA,30339,,038-2629353
INBOUND,0700747556,2420360,34021879,Reconsigned,CHATTANOOGA - CHT (038),06/18/2021,06/22/2021,06/24/2021,,,1,1,0,300,13:42,13:42,2420360,7033807,HOME DEPOT #3402,160 LACONIA ROAD,TILTON,NH,03276,3878407,SHAW INDUSTRIES INC,201 CONNECTOR 3 SW PLANT 34,DALTON,GA,30722,,4136995,HOME DEPOT CORE,2455 PACES FERRY RD,ATLANTA,GA,30339,,038-2610198
INBOUND,2560131430,2568587,15112643,Reconsigned,CHATTANOOGA - CHT (038),07/26/2021,07/29/2021,08/02/2021,14:31,14:31,1,1,0,300,14:12,14:14,2568587,0237464,HOME DEPOT #1511,4450 N FREEWAY RD,PUEBLO,CO,81008,3878407,SHAW INDUSTRIES,"201 CONNECTOR 3 SW, PLANT 34",DALTON,GA,30722,,4136995,HOME DEPOT CORE,2455 PACES FERRY RD,ATLANTA,GA,30339,,038-2629345
INBOUND,0440495937,1432055,41373629,Reconsigned,CHATTANOOGA - CHT (038),10/13/2020,10/15/2020,10/16/2020,11:50,12:08,1,1,0,100,15:50,16:51,,2733242,HOME DEPOT #4137,965 E LANCASTER AVE,DOWNINGTOWN,PA,19335,3878407,SHAW INDUSTRIES,201 CONNECTOR 3 SW,DALTON,GA,30722,,4136995,HOME DEPOT CORE,2455 PACES FERRY RD,ATLANTA,GA,30339,,038-2555697
INBOUND,2920746939,1241896,06793613,Reconsigned,CHATTANOOGA - CHT (038),08/26/2020,09/01/2020,09/03/2020,11:41,11:55,1,1,0,175,11:45,11:46,NS,0237240,HOME DEPOT #0679,3838 W VISTA WAY,OCEANSIDE,CA,92056,3878407,SHAW INDUSTRIES INC,201 CONNECTOR 3 SW,DALTON,GA,30722,,4136995,HOME DEPOT CORE,2455 PACES FERRY RD,ATLANTA,GA,30339,,038-2559724
INBOUND,2470066400,2311321,18023022,Reconsigned,CHATTANOOGA - CHT (038),05/24/2021,05/28/2021,06/03/2021,,,1,1,0,180,16:55,16:59,2311321,0237466,HOME DEPOT #1802,2075 S HOLMES AVE,IDAHO FALLS,ID,83404,3878407,SHAW INDUSTRIES,201 CONNECTOR 3 SW,DALTON,GA,30722,,4136995,HOME DEPOT CORE,2455 PACES FERRY RD,ATLANTA,GA,30339,,038-2637348
INBOUND,2460246283,2048847,89415241,Reconsigned,CHATTANOOGA - CHT (038),03/22/2021,03/26/2021,03/31/2021,11:48,12:05,1,11,0,170,13:49,13:53,NS,0237963,HOME DEPOT #8941,2003 CASSIA ST,NAMPA,ID,83651,3878407,SHAW INDUSTRIES,201 CONNECTOR 3 SW,DALTON,GA,30722,,4136995,HOME DEPOT CORE,2455 PACES FERRY RD,ATLANTA,GA,30339,,038-2597709
INBOUND,2241454725,1546135,15223279,Reconsigned,CHATTANOOGA - CHT (038),11/05/2020,11/09/2020,11/10/2020,,,1,1,0,290,13:17,13:19,,0237774,HOME DEPOT #1522,16900 W COLFAX AVE,GOLDEN,CO,80401,3878407,SHAW INDUSTRIES,201 CONNECTOR 3 SW,DALTON,GA,30722,,4136995,HOME DEPOT CORE,2455 PACES FERRY RD,ATLANTA,GA,30339,,038-2579768
INBOUND,2690018809,1573179,60018405,Returned to shipper,CHATTANOOGA - CHT (038),11/13/2020,11/20/2020,11/20/2020,,,0,1,0,280,,,NS,0237849,HOME DEPOT #6001,4900 E 2ND ST,CASPER,WY,82609,3878407,SHAW INDUSTRIES INC,201 CONNECTOR 3 SW,DALTON,GA,30722,,4136995,HOME DEPOT CORE,2455 PACES FERRY RD,ATLANTA,GA,30339,,038-2600699
INBOUND,0440495943,1466682,41373856,Reconsigned,CHATTANOOGA - CHT (038),10/19/2020,10/22/2020,10/23/2020,,,1,1,0,150,,,NS,2733242,HOME DEPOT #4137,965 E LANCASTER AVE,DOWNINGTOWN,PA,19335,3878407,S/O SHAW INDUSTRIES,201 CONNECTOR 3 SW,DALTON,GA,30722,,4136995,HOME DEPOT CORE,2455 PACES FERRY RD,ATLANTA,GA,30339,,038-2555724
INBOUND,0440460027,1382445,41012365,Reconsigned,CHATTANOOGA - CHT (038),09/29/2020,10/01/2020,10/02/2020,11:51,12:09,1,1,0,125,13:12,13:15,,2733227,HOME DEPOT #4101,1651 S COLUMBUS BLVD,PHILADELPHIA,PA,19148,3878407,SHAW INDUSTRIES,201 CONNECTOR 3 SW,DALTON,GA,30722,,4136995,HOME DEPOT CORE,2455 PACES FERRY RD,ATLANTA,GA,30339,,038-2558217
INBOUND,1110509185,1494968,19139236,Reconsigned,CHATTANOOGA - CHT (038),10/26/2020,10/29/2020,10/30/2020,11:07,11:16,1,1,0,900,,,,2831966,HOME DEPOT #1913,350 EAST KENSINGTON,MOUNT PROSPECT,IL,60056,3878407,SHAW INDUSTRIES,201 CONNECTOR 3 SW,DALTON,GA,30722,,4136995,HOME DEPOT CORE,2455 PACES FERRY RD,ATLANTA,GA,30339,,038-2579745
INBOUND,1641850512,2178238,NOPO,Reconsigned,CHATTANOOGA - CHT (038),03/02/2021,03/04/2021,03/05/2021,,,1,17,0,240,13:55,14:00,,6437498,HOME DEPOT #3024,905 NE ADAMS DAIRY PARKWAY,BLUE SPRINGS,MO,64014,3878407,SHAW INDUSTRIES,201 CONNECTOR 3 SW PLANT 34,DALTON,GA,30722,,4136995,HOME DEPOT CORE,2455 PACES FERRY RD,ATLANTA,GA,30339,,038-2594212
INBOUND,0492340762,2413257,63729814,Reconsigned,CHATTANOOGA - CHT (038),06/16/2021,06/19/2021,06/24/2021,,,1,1,0,280,17:07,17:07,2413257,4937393,HOME DEPOT #6372,1000 NE 4TH AVE,FORT LAUDERDALE,FL,33304,3878407,SHAW INDUSTRIES,201 CONNECTOR 3 SW,DALTON,GA,30722,,4136995,HOME DEPOT CORE,2455 PACES FERRY RD,ATLANTA,GA,30339,,038-2610197
INBOUND,2220980022,2194556,40071788,Reconsigned,CHATTANOOGA - CHT (038),04/27/2021,05/04/2021,05/04/2021,,,1,1,0,360,09:54,10:08,2194556,0237195,HOME DEPOT #4007,1728 N JANTZEN BEACH CTR,PORTLAND,OR,97217,3878407,SO SHAW INDUSTRIES,201 CONNECTOR 3 SW PLANT 34,DALTON,GA,30722,,4136995,HOME DEPOT CORE,2455 PACES FERRY RD,ATLANTA,GA,30339,,038-2590735
INBOUND,0440495948,1496459,37568737,Reconsigned,CHATTANOOGA - CHT (038),10/26/2020,10/29/2020,10/30/2020,11:07,11:16,1,1,0,175,13:20,13:51,,2733242,HOME DEPOT #4137,965 E LANCASTER AVE,DOWNINGTOWN,PA,19335,3878407,SHAW INDUSTRIES,201 CONNECTOR 3 SW,DALTON,GA,30722,,4136995,HOME DEPOT CORE,2455 PACES FERRY RD,ATLANTA,GA,30339,,038-2579746
INBOUND,0440495947,1479278,37568848,Reconsigned,CHATTANOOGA - CHT (038),10/21/2020,10/23/2020,10/28/2020,09:39,09:46,1,1,0,150,14:58,15:24,,2733242,HOME DEPOT #4137,965 E LANCASTER AVE,DOWNINGTOWN,PA,19335,3878407,SHAW INDUSTRIES INC,201 CONNECTOR 3 SW,DALTON,GA,30722,,4136995,HOME DEPOT CORE,2455 PACES FERRY RD,ATLANTA,GA,30339,,RCN
INBOUND,1780566637,2488980,12559824,Reconsigned,CHATTANOOGA - CHT (038),07/06/2021,07/09/2021,07/12/2021,13:12,13:25,1,1,0,375,14:43,14:45,2488980,0636999,HOME DEPOT #1255,50 10 NORTHERN BLVD,LONG ISLAND CITY,NY,11101,3878407,SO SHAW INDUSTRIES,201 CONNECTOR 3 SW,DALTON,GA,30722,,4136995,HOME DEPOT CORE,2455 PACES FERRY RD,ATLANTA,GA,30339,,038-2624213
INBOUND,2972066598,567604,37658579,Reconsigned,CHATTANOOGA - CHT (038),04/09/2021,04/13/2021,04/21/2021,,,1,1,0,725,,,,2977777,SHAW INDUSTRIES CARPET DC IN L,843 UNION GROVE RD,PHOENIX,AZ,85009,3878407,SHAW INDUSTRIES,201 CONNECTOR 3 SW,DALTON,GA,30722,,5040517,HOME DEPOT DIRECT          EDI,2455 PACES FERRY RD,ATLANTA,GA,30339,,038-2587206
